GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
srm-api,com.scholastic.srmapi.interceptor,AssessmentControllerInterceptor,5,112,1,7,1,22,1,13,0,10
srm-api,com.scholastic.srmapi.service.support,AssessmentServiceImpl,1,151,1,15,0,35,1,16,0,9
srm-api,com.scholastic.srmapi.service.support,LtiServiceImpl,8,262,0,14,3,54,0,14,0,7
srm-api,com.scholastic.srmapi.service.support,BatchAssignmentServiceImpl,0,23,0,0,0,7,0,2,0,2
srm-api,com.scholastic.srmapi.exception,UserNotAuthorizedException,0,9,0,0,0,4,0,3,0,3
srm-api,com.scholastic.srmapi.util,Encoding,0,17,0,0,0,2,0,2,0,2
srm-api,com.scholastic.srmapi.util,JwtTokenProvider,1,201,3,19,0,61,3,21,0,13
srm-api,com.scholastic.srmapi.util,AssessmentHelper,6,59,0,8,1,11,1,10,1,6
srm-api,com.scholastic.srmapi.controller,AssessmentController,0,32,0,0,0,6,0,3,0,3
srm-api,com.scholastic.srmapi.controller,HelloWorldController,0,5,0,0,0,2,0,2,0,2
srm-api,com.scholastic.srmapi.controller,LTILaunchController,0,77,0,6,0,22,0,5,0,2
srm-api,com.scholastic.srmapi.response,AssessmentTestResponse,0,212,0,22,0,45,0,15,0,4
srm-api,com.scholastic.srmapi.response,Assessment,0,3,0,0,0,1,0,1,0,1
srm-api,com.scholastic.srmapi.response,SrmStatus,0,3,0,0,0,1,0,1,0,1
srm-api,com.scholastic.srmapi.filter,JwtAuthenticationFilter,20,116,3,11,0,29,4,9,1,5
srm-api,com.scholastic.srmapi.controller.advice,ExceptionHandlerAdvice,0,48,0,0,0,10,0,6,0,6
srm-api,com.scholastic.srmapi.model,User,8,21,0,0,4,5,4,3,4,3
srm-api,com.scholastic.srmapi.model,UserLoginSession,0,3,0,0,0,1,0,1,0,1
srm-api,com.scholastic.srmapi.model,AssessmentTestDetails,8,0,0,0,4,0,2,0,2,0
srm-api,com.scholastic.srmapi.model,AssessmentQuestion,0,9,0,0,0,3,0,1,0,1
